Name,log(MBh/Msol),E_log(MBh/Msol)_upper,E_log(MBh/Msol)_lower,psi_deg,E_psi_upper,E_psi_lower,ref
NGC2543,7.869,0.176,0.301,22.11,5.48,5.48,"2,3"
NGC2555,8.493,0.176,0.301,15,15,15,"2,4"
NGC2558,8.258,0.176,0.301,15,15,5,"2,4"
NGC2582,8.113,0.176,0.301,15,15,5,"2,4"
NGC2598,8.009,0.176,0.301,15,15,15,"2,4"
NGC2618,8.436,0.176,0.301,15,15,15,"2,4"
NGC2633,7.939,0.176,0.301,27.89,13.02,13.02,"2,3"
NGC2639,8.543,0.176,0.301,5,15,5,"2,4"
NGC2704,8.255,0.176,0.301,35,5,15,"2,4"
NGC2710,7.479,0.176,0.301,29.11,4.43,4.43,"2,3"
NGC2712,7.732,0.176,0.301,15,15,5,"2,4"
NGC2712,7.732,0.176,0.301,9.48,1.14,1.14,"2,3"
NGC2713,8.717,0.176,0.301,15,15,15,"2,4"
NGC2735,7.708,0.176,0.301,15,15,15,"2,4"
NGC2746,8.652,0.176,0.301,15,15,15,"2,4"
NGC2756,8.212,0.176,0.301,25,15,15,"2,4"
NGC2771,8.331,0.176,0.301,25,15,15,"2,4"
NGC2798,7.719,0.176,0.301,25,15,15,"2,4"
NGC2844,7.242,0.176,0.301,15,15,15,"2,4"
NGC2854,7.703,0.176,0.301,25,15,15,"2,4"
NGC2854,7.703,0.176,0.301,22.11,9.17,9.17,"2,3"
NGC2860,7.931,0.176,0.301,25,15,15,"2,4"
NGC2903,7.06,0.28,0.28,23.31,2.69,2.69,"1,3"
NGC2950,7.774,0.176,0.301,5,15,5,"2,4"
NGC2959,8.462,0.176,0.301,5,15,5,"2,4"
NGC2964,6.73,0.61,0.61,25,15,15,"1,4"
NGC2964,6.73,0.61,0.61,30.22,8.24,8.24,"1,3"
NGC2987,7.943,0.176,0.301,5,15,5,"2,4"
NGC3021,7.26,0.3,0.3,35,5,15,"1,4"
NGC3021,7.26,0.3,0.3,28.13,13.55,13.55,"1,3"
NGC3031,7.81,0.13,0.13,25,15,15,"1,4"
NGC3031,7.81,0.13,0.13,12.56,0.65,0.65,"1,3"
NGC3039,8.246,0.176,0.301,25,15,15,"2,4"
NGC3067,7.632,0.176,0.301,15,15,15,"2,4"
NGC3106,8.588,0.176,0.301,15,15,15,"2,4"
NGC3169,8.128,0.176,0.301,25,15,15,"2,4"
NGC3177,7.393,0.176,0.301,12.78,4.21,4.21,"2,3"
NGC3202,8.398,0.176,0.301,25,5,15,"2,4"
NGC3227,7.32,0.23,0.23,16.54,5.99,5.99,"1,3"
NGC3304,8.547,0.176,0.301,5,15,5,"2,4"
NGC3310,6.7,0.92,0.92,47.34,7.1,7.1,"1,3"
NGC3423,5.18,0.67,0.67,25,15,15,"1,4"
NGC3423,5.18,0.67,0.67,27.87,13.53,13.53,"1,3"
NGC3434,8.073,0.176,0.301,5,15,5,"2,4"
NGC3435,7.99,0.176,0.301,25,15,15,"2,4"
NGC3455,6.785,0.176,0.301,30.5,8.92,8.92,"2,3"
NGC3470,8.211,0.176,0.301,15,5,15,"2,4"
NGC3471,7.669,0.176,0.301,15,15,15,"2,4"
NGC3485,7.388,0.176,0.301,25,15,5,"2,4"
NGC3485,7.388,0.176,0.301,28.82,12.71,12.71,"2,3"
NGC3507,7.483,0.176,0.301,16.93,4.79,4.79,"2,3"
NGC3547,7.075,0.176,0.301,18.89,6.52,6.52,"2,3"
NGC3583,8.231,0.176,0.301,25,15,15,"2,4"
NGC3583,8.231,0.176,0.301,20.27,2.77,2.77,"2,3"
NGC3604,7.456,0.176,0.301,5,15,5,"2,4"
NGC3627,6.93,0.05,0.05,30.72,6.58,6.58,"1,3"
NGC3633,7.738,0.176,0.301,15,15,15,"2,4"
NGC3642,7.42,0.04,0.04,15,15,15,"1,4"
NGC3673,8.011,0.176,0.301,25.14,12.42,12.42,"2,3"
NGC3705,8.186,0.176,0.301,25,15,15,"2,4"
NGC3720,8.435,0.176,0.301,15,15,5,"2,4"
NGC3729,7.666,0.176,0.301,15,15,15,"2,4"
NGC3752,7.252,0.176,0.301,23.72,5.92,5.92,"2,3"
NGC3788,7.98,0.176,0.301,25,15,15,"2,4"
NGC3800,8.17,0.176,0.301,25,15,15,"2,4"
NGC3813,7.642,0.176,0.301,25,15,5,"2,4"
NGC3822,8.599,0.176,0.301,5,15,5,"2,4"
NGC3825,8.527,0.176,0.301,25,15,5,"2,4"
NGC3835,7.818,0.176,0.301,5,15,5,"2,4"
NGC3849,8.256,0.176,0.301,15,15,15,"2,4"
NGC3895,7.936,0.176,0.301,5,15,5,"2,4"
NGC3914,8.324,0.176,0.301,25,15,15,"2,4"
NGC3916,8.17,0.176,0.301,15,25,15,"2,4"
NGC3928,7.11,0.176,0.301,5,25,5,"2,4"
NGC3953,7.33,0.29,0.29,15,15,15,"1,4"
NGC3953,7.33,0.29,0.29,19.3,5.79,5.79,"1,3"
NGC3958,7.991,0.176,0.301,15,15,15,"2,4"
NGC3977,8.157,0.176,0.301,15,15,15,"2,4"
NGC3982,7.665,0.176,0.301,25,5,15,"2,4"
NGC3982,6.95,0.26,0.26,24.78,8.36,8.36,"1,3"
NGC3992,7.51,0.28,0.28,17.63,9.1,9.1,"1,3"
NGC4012,7.926,0.176,0.301,15,15,15,"2,4"
NGC4014,8.201,0.176,0.301,15,15,15,"2,4"
NGC4037,6.75,0.176,0.301,25,5,15,"2,4"
NGC4041,6,0.2,0.2,25,15,15,"1,4"
NGC4041,6,0.2,0.2,25.52,9.2,9.2,"1,3"
NGC4043,8.354,0.176,0.301,15,15,15,"2,4"
